Event Type,Button/Key,Action,Position,Timestamp
Mouse,(Move),Moved,(433, 332),2025-03-26 02:30:42
Mouse,(Move),Moved,(433, 332),2025-03-26 02:30:42
Mouse,(Move),Moved,(439, 338),2025-03-26 02:30:42
Mouse,(Move),Moved,(454, 354),2025-03-26 02:30:42
Mouse,(Move),Moved,(461, 363),2025-03-26 02:30:42
Mouse,(Move),Moved,(469, 372),2025-03-26 02:30:42
Mouse,(Move),Moved,(477, 381),2025-03-26 02:30:42
Mouse,(Move),Moved,(494, 397),2025-03-26 02:30:42
Mouse,(Move),Moved,(502, 405),2025-03-26 02:30:42
Mouse,(Move),Moved,(515, 417),2025-03-26 02:30:42
Mouse,(Move),Moved,(525, 428),2025-03-26 02:30:42
Mouse,(Move),Moved,(531, 435),2025-03-26 02:30:42
Mouse,(Move),Moved,(536, 440),2025-03-26 02:30:42
Mouse,(Move),Moved,(541, 444),2025-03-26 02:30:42
Mouse,(Move),Moved,(543, 445),2025-03-26 02:30:42
Mouse,(Move),Moved,(546, 446),2025-03-26 02:30:42
Mouse,(Move),Moved,(548, 447),2025-03-26 02:30:42
Mouse,(Move),Moved,(552, 447),2025-03-26 02:30:42
Mouse,(Move),Moved,(554, 451),2025-03-26 02:30:42
Mouse,(Move),Moved,(557, 455),2025-03-26 02:30:42
Mouse,(Move),Moved,(562, 465),2025-03-26 02:30:42
Mouse,(Move),Moved,(566, 471),2025-03-26 02:30:42
Mouse,(Move),Moved,(568, 477),2025-03-26 02:30:42
Mouse,(Move),Moved,(571, 482),2025-03-26 02:30:42
Mouse,(Move),Moved,(574, 487),2025-03-26 02:30:42
Mouse,(Move),Moved,(575, 491),2025-03-26 02:30:42
Mouse,(Move),Moved,(577, 495),2025-03-26 02:30:42
Mouse,(Move),Moved,(579, 499),2025-03-26 02:30:42
Mouse,(Move),Moved,(580, 503),2025-03-26 02:30:42
Mouse,(Move),Moved,(582, 509),2025-03-26 02:30:42
Mouse,(Move),Moved,(584, 518),2025-03-26 02:30:42
Mouse,(Move),Moved,(585, 524),2025-03-26 02:30:42
Mouse,(Move),Moved,(586, 528),2025-03-26 02:30:42
Mouse,(Move),Moved,(587, 531),2025-03-26 02:30:42
Mouse,(Move),Moved,(587, 535),2025-03-26 02:30:42
Mouse,(Move),Moved,(587, 539),2025-03-26 02:30:42
Mouse,(Move),Moved,(587, 544),2025-03-26 02:30:42
Mouse,(Move),Moved,(587, 551),2025-03-26 02:30:42
Mouse,(Move),Moved,(586, 569),2025-03-26 02:30:42
Mouse,(Move),Moved,(586, 579),2025-03-26 02:30:42
Mouse,(Move),Moved,(585, 588),2025-03-26 02:30:42
Mouse,(Move),Moved,(583, 597),2025-03-26 02:30:42
Mouse,(Move),Moved,(578, 616),2025-03-26 02:30:42
Mouse,(Move),Moved,(573, 637),2025-03-26 02:30:42
Mouse,(Move),Moved,(572, 648),2025-03-26 02:30:42
Mouse,(Move),Moved,(568, 659),2025-03-26 02:30:42
Mouse,(Move),Moved,(567, 669),2025-03-26 02:30:42
Mouse,(Move),Moved,(563, 678),2025-03-26 02:30:42
Mouse,(Move),Moved,(559, 689),2025-03-26 02:30:42
Mouse,(Move),Moved,(555, 699),2025-03-26 02:30:42
Mouse,(Move),Moved,(551, 710),2025-03-26 02:30:42
Mouse,(Move),Moved,(544, 730),2025-03-26 02:30:42
Mouse,(Move),Moved,(542, 739),2025-03-26 02:30:42
Mouse,(Move),Moved,(540, 745),2025-03-26 02:30:42
